best,Distance
a1a8,0
a4e4,0
a5h5,0
a6c8,0
b3a4,2
b3d3,0
b5b6,2
b6e6,0
b6f2,0
b7b8,4
b7d7,0
b8c8,4
c1a1,3
c1b2,4
c1h6,0
c3b5,0
c5c8,0
c6c8,0
c6c5,0
c6f6,0
c7f7,0
d1d8,0
d2a5,4
d3g6,3
d4d5,0
d4d6,1
d5d1,4
d5d3,4
d5f6,4
d6d1,0
d6d8,0
d7g7,0
d8d7,0
e4g4,4
e4g6,0
e5e6,4
e5h8,2
e6e8,0
f1h1,0
f2a2,0
f2h2,0
f3f5,4
f4e3,4
f4e6,3
f4h6,0
f7f8,0
f8e8,0
g1h2,0
g3g7,0
g5f7,2
g5h5,0
g6f7,0
g7f7,0
g8f7,0
h3h1,0
h4g6,0
h4h5,4
h5f7,1
h8a8,0
h8b2,0
h8g6,3
h8h5,0
a2a8,4
a3a8,3
a4a8,0
a5d8,0
a7a8,4
a7d7,0
a8d8,0
b1c3,4
b5b8,0
b5c7,3
c2c8,1
c7c8,0
d7f5,0
e1a1,0
e1b4,0
e5c7,0
f3b3,1
f5f8,3
f8f2,1
g3e5,0
g4g6,0
g4h5,0
g7g8,2
h1h2,0
h6h7,0
